title,url,summary,published_at,result_page,collected_at,search_term,source
Vazamento de dados na Latam: entenda o que foi exposto e como se proteger,https://g1.globo.com/tecnologia/noticia/2026/08/20/vazamento-de-dados-na-latam-entenda-o-que-foi-exposto-e-como-se-proteger.ghtml,Latam não revelou quantos clientes foram afetados Latam/Divulgação Clientes da companhia aérea Latam tiveram dados pessoais e parte de números de cartões de crédito expostos após um incidente de segurança que permitiu consultas não autorizadas a seu sistema. Em comunicado enviado na quarta-feira...,2026-08-20T13:20:17.717Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
"Criança de 10 anos ferida após deslizamento de terra onde a mãe morreu segue na UTI, em SC",https://g1.globo.com/sc/santa-catarina/noticia/2026/08/17/crianca-10-anos-ferida-deslizamento-onde-mae-morreu-segue-na-uti.ghtml,"Deslizamento atinge casa, mata mãe e deixa filha ferida em SC A menina de 10 anos ferida após a casa em que mora ser soterrada por um deslizamento em Santo Amaro da Imperatriz (SC) segue internada em estado grave na Unidade de Terapia Intensiva (UTI). A informação foi confirmada nesta segunda-feira...",2026-08-17T13:24:19.048Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
Sua empresa está protegida? HostDime foi pioneira com ISO LGPD no Brasil.,https://g1.globo.com/pb/paraiba/especial-publicitario/hostdime/noticia/2025/05/06/sua-empresa-esta-protegida-hostdime-foi-pioneira-com-iso-lgpd-no-brasil.ghtml,"A HostDime conquistou a ISO 27701, garantindo a proteção de dados com os mais altos padrões de segurança e conformidade, com foco na LGPD e privacidade. HostDime Brasil. Em um mundo onde os dados pessoais estão em todos os lugares — de formulários online a cadastros de clientes —, saber como eles...",2025-05-06T17:48:11.225Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
Cloud para startups: como estruturar infraestrutura desde o início,https://g1.globo.com/pr/parana/especial-publicitario/gate7-it-solutions-gestao-de-ti-inteligente/noticia/2026/08/21/cloud-para-startups-como-estruturar-infraestrutura-desde-o-inicio.ghtml,"O ecossistema de startups brasileiro segue em expansão. Segundo levantamento da consultoria Value Capital, o número de startups ativas no país saltou de 352, em 2016, para 975 em 2025 — um crescimento de quase 40% apenas na última meia década. Nesse universo cada vez mais numeroso, a forma como...",2026-08-21T18:58:14.425Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
Transtorno: Homem engole munição e precisa ser operado no interior de MS,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2026/08/13/homem-engole-municao-e-passa-por-cirurgia-em-ms.ghtml,"Síndrome de Pica: Saiba mais sobre esse transtorno Um homem, de 44 anos, precisou passar por uma cirurgia após ingerir uma munição intacta de calibre 380, em Sidrolândia (MS). O caso chegou até a polícia após o Hospital Municipal da cidade informar aos agentes sobre a bala encontrada durante o...",2026-08-13T20:17:17.339Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
MP investiga exposição de dados pessoais de mais de 290 pacientes na Bahia; lista inclui registros de exames de HIV e hepatite,https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2026/08/19/mp-investiga-possivel-exposicao-de-dados-pessoais-e-de-saude-de-pacientes-em-santo-estevao.ghtml,"Ministério Público da Bahia investiga possível vazamento de dados de pacientes O Ministério Público da Bahia (MP-BA) investiga a possível exposição de dados pessoais e informações de saúde de mais de 290 pacientes da rede pública de Santo Estevão, cidade no interior da Bahia. O caso foi protocolado...",2026-08-19T18:38:54.476Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
ECA Digital encorpou fiscalização da ANPD sobre redes sociais e proteção de crianças,https://g1.globo.com/politica/blog/julia-duailibi/post/2026/08/13/eca-digital-encorpou-fiscalizacao-da-anpd-sobre-redes-sociais-e-protecao-de-criancas.ghtml,"SEM LIVES NA DISCORD A Autoridade Nacional de Proteção de Dados (ANPD), criada originalmente em 2020 para fiscalizar a aplicação da Lei Geral de Proteção de Dados (LGPD), teve sua atuação ampliada e ""encorpada"" a partir do ano passado. O principal motor dessa mudança foi o ECA Digital, legislação...",2026-08-13T11:20:36.213Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
Veterinária atacada por pastor-belga do Senado no centro de Brasília passa por cirurgia,https://g1.globo.com/df/distrito-federal/noticia/2026/08/18/veterinaria-atacada-por-pastor-belga-do-senado-no-centro-de-brasilia-passa-por-cirurgia-estado-e-grave.ghtml,"Imagens mostram canil do Senado, em Brasília A veterinária que foi atacada por um cachorro na Esplanada dos Ministérios, em Brasília, nesta terça-feira (18), foi encaminhada ao centro cirúrgico do Hospital de Base. O estado de saúde é grave. A cirurgia foi confirmada pelo Instituto de Gestão...",2026-08-18T22:06:17.465Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
Dia do Consumidor: LGPD protege o cidadão com relação às informações pessoais,https://g1.globo.com/pi/piaui/videos-pitv-1-edicao/video/dia-do-consumidor-lgpd-protege-o-cidadao-com-relacao-as-informacoes-pessoais-13428189.ghtml,Dia do Consumidor: LGPD protege o cidadão com relação às informações pessoais,2025-03-15T13:32:06-03:00,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
UFR expulsa estudante de engenharia após caso de capacitismo contra colega com deficiência,https://g1.globo.com/mt/mato-grosso/noticia/2026/08/11/ufr-desliga-estudante-apos-apuracao-de-caso-de-capacitismo-contra-colega-com-deficiencia-em-mt.ghtml,Estudante que publicou vídeo com falas capacitistas é expulsa da UFR em MT A Universidade Federal de Rondonópolis (UFR) desligou uma estudante do curso de Engenharia Agrícola e Ambiental após concluir um procedimento administrativo sobre um caso de capacitismo contra uma colega com deficiência. O...,2026-08-11T21:39:23.885Z,5,2026-09-16T13:15:42.111072+00:00,lgpd,G1
Jovem de 15 anos morre após ir à UPA com dor de dente no DF; família denuncia negligência,https://g1.globo.com/df/distrito-federal/noticia/2026/08/19/jovem-de-15-anos-morre-apos-ir-a-upa-com-dor-de-dente-no-df-familia-denuncia-negligencia.ghtml,"A adolescente Maria Luiza Abreu Estevam, de 15 anos, morreu após passar por uma sequência de atendimentos de saúde sem sucesso no Distrito Federal. A menina foi velada pela família nesta quarta-feira (19), no cemitério de Sobradinho. Segundo a família, no sábado (8), Maria Luiza foi até a Unidade...",2026-08-20T10:22:29.634Z,5,2026-09-16T13:15:42.111072+00:00,lgpd,G1
Segurança Cibernética: curso atende à crescente demanda por especialistas na área,https://g1.globo.com/ce/ceara/especial-publicitario/unifor/guia-de-profissoes/noticia/2026/08/06/seguranca-cibernetica-curso-atende-a-crescente-demanda-por-especialistas-na-area.ghtml,"Cada vez mais empresas prezam por ativos tecnológicos, o que impulsiona o mercado de trabalho para profissionais de segurança cibernética getty images Entrar para o hall da fama da NASA (National Aeronautics and Space Administration) não é um feito comum, mas um nordestino fez história ao integrar...",2026-08-06T18:07:28.461Z,5,2026-09-16T13:15:42.111072+00:00,lgpd,G1
"Em programa de governo, Ivan Moraes promete tarifa zero, renda básica estadual, câmeras corporais na PM e comitê de cannabis medicinal",https://g1.globo.com/pe/pernambuco/eleicoes/2026/noticia/2026/09/05/plano-de-governo-de-ivan-moraes.ghtml,"Ivan Moraes (PSOL) em coletiva na convenção que lançou sua candidatura ao governo de Pernambuco Paulo Veras/g1 O ex-vereador do Recife Ivan Moraes, candidato ao governo de Pernambuco pelo PSOL, apresentou propostas que vão de um programa de renda básica estadual ao fim do uso de reconhecimento...",2026-09-05T03:00:01.746Z,5,2026-09-16T13:15:42.111072+00:00,lgpd,G1
"Enfermeira denuncia ter sido agredida em plantão no hospital de Samambaia, no DF",https://g1.globo.com/df/distrito-federal/noticia/2026/08/10/enfermeira-denuncia-ter-sido-agredida-durante-plantao-em-hospital-publico-em-samambaia-no-df.ghtml,"Enfermeira denuncia agressões durante plantão em hospital público do DF Reprodução Uma enfermeira de 43 anos denuncia ter sido agredida durante o plantão no Hospital Regional de Samambaia, no Distrito Federal, na noite deste domingo (9). Segundo o Sindicato das Enfermeiras e dos Enfermeiros do...",2026-08-10T21:58:18.868Z,5,2026-09-16T13:15:42.111072+00:00,lgpd,G1
Estudantes de psicologia da Uniso denunciam negligência da gestão ao MEC e apontam crise institucional,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/08/11/curso-psicologia-uniso-denuncia-negligencia.ghtml,Estudantes de psicologia da Uniso denunciam negligência da gestão ao MEC e apontam crise Alunos do curso de psicologia da Universidade de Sorocaba (Uniso) formalizaram uma denúncia sobre negligência na reitoria e na coordenação do curso junto ao Ministério da Educação (MEC). Entre os problemas...,2026-08-11T18:48:01.799Z,5,2026-09-16T13:15:42.111072+00:00,lgpd,G1
Câmara de Fortaleza aprova integração de câmeras do Estado e privadas à Guarda Municipal,https://g1.globo.com/ce/ceara/noticia/2026/08/06/camara-de-fortaleza-aprova-integracao-de-cameras-do-estado-e-privadas-a-guarda-municipal.ghtml,"Sistema de videomonitoramento da Guarda de Fortaleza poderá ser ampliado com o projeto de lei. Foto: Rodrigo Carvalho/Prefeitura de Fortaleza. A Câmara de Fortaleza aprovou, nesta quinta-feira (6), uma atualização da política municipal de videomonitoramento, com destaque para a integração de...",2026-08-06T20:28:56.052Z,5,2026-09-16T13:15:42.111072+00:00,lgpd,G1
Cantor sertanejo internado com leucemia e esposa conversam sobre manter a fé na recuperação: ‘Ser positivos diante dos riscos’,https://g1.globo.com/go/goias/noticia/2026/08/08/cantor-sertanejo-internado-com-leucemia-e-esposa-conversam-sobre-manter-a-fe-na-recuperacao-ser-positivos-diante-dos-riscos.ghtml,"Cantor sertanejo internado com leucemia e esposa conversam sobre manter fé na recuperação A esposa do cantor sertanejo Eduardo, Daniele Mesquita e Castro, afirmou ao g1 que o casal busca manter a fé e a positividade durante o tratamento do artista contra uma leucemia. Eduardo está internado...",2026-08-09T00:39:02.811Z,5,2026-09-16T13:15:42.111072+00:00,lgpd,G1
